accX,accY,accZ,gyrX,gyrY,gyrZ,annotation
12.540782928466797,-12.849457740783691,11.423335075378418,0.1905843466520309,1.1581664085388184,-1.4684767723083496,#
14.89292812347412,-12.44267749786377,11.313264846801758,0.4031591713428497,2.400629758834839,-1.6578394174575806,#
15.771093368530272,-12.277572631835938,10.329815864562988,0.6927007436752319,3.902092218399048,-1.7445796728134155,#
16.687543869018555,-14.285151481628418,6.530013084411621,0.758672297000885,4.666872978210449,-1.81177282333374,#
17.216360092163086,-17.76192283630371,0.5264209508895874,0.8112051486968994,6.231863498687744,-1.81177282333374,#
17.216360092163086,-17.76192283630371,0.5264209508895874,0.9272661209106444,7.970334529876709,-1.6175235509872437,#
16.620546340942383,-15.601203918457031,-3.019742012023926,1.1288456916809082,8.928143501281738,-1.582094430923462,#
14.316258430480955,-11.95454216003418,-4.218546390533447,1.5210096836090088,10.643403053283691,-1.469698429107666,#
14.297115325927734,-15.739986419677734,-5.314458847045898,1.0347752571105957,11.593880653381348,-0.7513421177864075,#
17.25225067138672,-20.72902107238769,-11.028520584106444,0.8283088207244873,11.85410213470459,-0.1514901220798492,#
17.25225067138672,-20.72902107238769,-11.028520584106444,1.0836429595947266,12.866886138916016,0.6499415040016174,#
21.095123291015625,-15.859628677368164,-10.279565811157228,1.5283397436141968,13.505831718444824,0.6536065340042114,#
18.254844665527344,-9.757929801940918,-8.307880401611328,1.6492875814437866,14.060482025146484,0.5021164417266846,#
17.481962203979492,-13.935799598693848,-10.191031455993652,1.5772075653076172,13.00249481201172,1.068982720375061,#
14.639288902282717,-14.44307804107666,-13.39741325378418,1.5185662508010864,12.042242050170898,1.4770286083221436,#
12.705887794494627,-9.817750930786133,-15.215959548950195,1.766570210456848,10.076536178588867,1.4758068323135376,#
12.705887794494627,-9.817750930786133,-15.215959548950195,2.296785831451416,8.501771926879883,1.1398409605026243,#
9.422935485839844,-9.15733242034912,-17.582460403442383,1.9486026763916016,7.809071063995361,0.9822423458099364,#
5.127819538116455,-8.432307243347168,-21.281763076782227,0.7098045349121094,6.438329696655273,0.864959716796875,#
2.043470621109009,-7.161717891693115,-23.46162414550781,0.3286358118057251,5.678436279296875,0.8173136115074158,#
-0.9619146585464478,-7.068397998809815,-21.84646987915039,0.0928487852215766,3.842229127883911,0.6132906079292297,#
-0.9619146585464478,-7.068397998809815,-21.84646987915039,0.0280989725142717,1.8423151969909668,0.3139754831790924,#
-2.4287149906158447,-7.908278465270996,-18.252450942993164,0.0488677769899368,0.8710681796073914,0.1844758540391922,#
-2.4670000076293945,-8.71466064453125,-14.017155647277832,0.4581354260444641,-0.8478559851646423,0.003665083553642,#
-1.9884356260299685,-10.054640769958496,-11.387442588806152,0.6450546979904175,-1.83132004737854,0.0109952501952648,#
-2.132004976272583,-9.332008361816406,-9.68375301361084,0.5864133238792419,-2.039008140563965,0.0940704718232154,#
-2.132004976272583,-9.332008361816406,-9.68375301361084,0.4825693070888519,-2.0817673206329346,0.3115321099758148,#
-2.6081764698028564,-9.382257461547852,-7.403393745422363,0.4886777997016907,-1.9730366468429563,0.4911211729049682,#
-3.414557933807373,-9.985249519348145,-4.692325115203857,0.5961868762969971,-1.9864752292633057,0.5448757410049438,#
-3.809373617172241,-9.889535903930664,-5.041677951812744,0.6450546979904175,-2.2405877113342285,0.6413896083831787,#
-3.524627923965454,-9.975677490234377,-4.869394302368164,0.4874561131000519,-2.3847475051879883,0.7171346545219421,#
