accX,accY,accZ,gyrX,gyrY,gyrZ,annotation
9.42772102355957,-2.567498683929444,1.2251251935958862,0.0219905003905296,-0.0207688063383102,-0.0207688063383102,#
9.377471923828123,-2.5938196182250977,1.3351951837539673,0.0134386392310261,-0.0158820282667875,-0.0256555844098329,#
9.399007797241213,-2.63449764251709,1.3304094076156616,0.007330167107284,-0.0097735561430454,-0.0244338884949684,#
9.291330337524414,-2.622533798217773,1.34476637840271,0.0097735561430454,-0.007330167107284,-0.0232121963053941,#
9.291330337524414,-2.622533798217773,1.34476637840271,0.0085518611595034,-0.0097735561430454,-0.0171037223190069,#
9.339186668395996,-2.612962245941162,1.306481122970581,0.0097735561430454,-0.0122169442474842,-0.0146603342145681,#
9.394222259521484,-2.636890411376953,1.306481122970581,0.0134386392310261,-0.0122169442474842,-0.0146603342145681,#
9.432506561279297,-2.567498683929444,1.3136597871780396,0.0195471122860908,-0.0085518611595034,-0.0158820282667875,#
9.422935485839844,-2.629711866378784,1.3112668991088867,0.0134386392310261,-0.0061084721237421,-0.0134386392310261,#
9.4061861038208,-2.565105676651001,1.284945726394653,0.007330167107284,-0.003665083553642,-0.0109952501952648,#
9.4061861038208,-2.565105676651001,1.284945726394653,0.003665083553642,-0.0024433890357613,-0.007330167107284,#
9.439685821533203,-2.555534601211548,1.244267821311951,0.003665083553642,-0.0024433890357613,-0.0048867780715227,#
9.375079154968262,-2.562713146209717,1.2610174417495728,0.003665083553642,0.0012216945178806,-0.0048867780715227,#
9.315258979797363,-2.5076780319213867,1.244267821311951,0.0097735561430454,0.0012216945178806,-0.0061084721237421,#
9.442078590393066,-2.486142873764038,1.284945726394653,0.0122169442474842,-0.0012216945178806,-0.0048867780715227,#
9.396614074707031,-2.4957141876220703,1.3232309818267822,0.0097735561430454,-0.0012216945178806,-0.0109952501952648,#
9.396614074707031,-2.4957141876220703,1.3232309818267822,0.003665083553642,-0.003665083553642,-0.0146603342145681,#
9.401400566101074,-2.589033842086792,1.2227323055267334,0.003665083553642,-0.003665083553642,-0.0171037223190069,#
9.351150512695312,-2.550748825073242,1.2825528383255005,0.0024433890357613,-0.0048867780715227,-0.0195471122860908,#
9.353544235229492,-2.51007080078125,1.1988041400909424,0.003665083553642,-0.0048867780715227,-0.0195471122860908,#
9.324830055236816,-2.51007080078125,1.2083754539489746,0.0024433890357613,-0.003665083553642,-0.0183254163712263,#
9.324830055236816,-2.51007080078125,1.2083754539489746,-0.003665083553642,-0.0024433890357613,-0.0183254163712263,#
